iter	Passed	Remaining
899	19025	2113
900	19048	2092
901	19070	2071
902	19089	2050
903	19110	2029
904	19133	2008
905	19153	1987
906	19175	1966
907	19198	1945
908	19217	1923
909	19242	1903
910	19264	1882
911	19283	1860
912	19302	1839
913	19323	1818
914	19345	1797
915	19368	1776
916	19389	1754
917	19410	1733
918	19430	1712
919	19453	1691
920	19475	1670
921	19494	1649
922	19511	1627
923	19533	1606
924	19553	1585
925	19573	1564
926	19591	1542
927	19606	1521
928	19625	1499
929	19645	1478
930	19667	1457
931	19690	1436
932	19712	1415
933	19732	1394
934	19752	1373
935	19773	1352
936	19795	1330
937	19816	1309
938	19839	1288
939	19859	1267
940	19882	1246
941	19907	1225
942	19926	1204
943	19950	1183
944	19973	1162
945	19995	1141
946	20017	1120
947	20040	1099
948	20063	1078
949	20083	1057
950	20103	1035
951	20124	1014
952	20147	993
953	20170	972
954	20191	951
955	20213	930
956	20233	909
957	20252	887
958	20273	866
959	20295	845
960	20316	824
961	20338	803
962	20356	782
963	20377	761
964	20397	739
965	20414	718
966	20436	697
967	20456	676
968	20477	655
969	20502	634
970	20525	613
971	20548	591
972	20570	570
973	20593	549
974	20614	528
975	20634	507
976	20657	486
977	20677	465
978	20699	444
979	20722	422
980	20743	401
981	20765	380
982	20788	359
983	20808	338
984	20829	317
985	20853	296
986	20873	274
987	20897	253
988	20919	232
989	20942	211
990	20965	190
991	20986	169
992	21009	148
993	21030	126
994	21053	105
995	21074	84
996	21096	63
997	21117	42
998	21136	21
999	21159	0
